step,wall_time,value
0,1784108781.1831489,0.715330183506012
1,1784108781.286738,0.6535631418228149
2,1784108781.3966937,0.6733689308166504
3,1784108781.502951,0.6150146722793579
4,1784108781.6116347,0.6300260424613953
5,1784108781.7171357,0.5498167276382446
6,1784108781.8211722,0.5730316042900085
7,1784108781.92736,0.5246319770812988
8,1784108782.033533,0.5242431163787842
9,1784108782.1411345,0.5318807363510132
10,1784108782.2471657,0.5628855228424072
11,1784108782.353557,0.5782182216644287
12,1784108782.458792,0.5698378086090088
13,1784108782.564234,0.4914225935935974
14,1784108782.669054,0.47446903586387634
15,1784108782.7746947,0.40616655349731445
16,1784108782.8764539,0.5350356101989746
17,1784108782.9838562,0.5184404850006104
18,1784108783.0886786,0.47696641087532043
19,1784108783.1949265,0.5016443133354187
20,1784108783.30189,0.4536164104938507
21,1784108783.4080508,0.4522243142127991
22,1784108783.5125103,0.3850250244140625
23,1784108783.6172693,0.3629229664802551
24,1784108783.7207928,0.3362537920475006
25,1784108783.828752,0.42405086755752563
26,1784108783.9373076,0.35281240940093994
27,1784108784.0444686,0.3564215302467346
28,1784108784.148952,0.5108423233032227
29,1784108784.2540398,0.476770281791687
30,1784108784.3592377,0.529653787612915
31,1784108784.4647608,0.41170015931129456
32,1784108784.5674646,0.30793121457099915
33,1784108784.6719809,0.501510500907898
34,1784108784.7828326,0.4190273582935333
35,1784108784.892502,0.3077436089515686
36,1784108784.998979,0.22266320884227753
37,1784108785.103158,0.35411712527275085
38,1784108785.208602,0.47160598635673523
39,1784108785.314468,0.4128943383693695
40,1784108785.4200702,0.25276678800582886
41,1784108785.5259776,0.5460824966430664
42,1784108785.6337137,0.41268181800842285
43,1784108785.742015,0.3804548680782318
44,1784108785.8464115,0.31147605180740356
45,1784108785.9497511,0.27467721700668335
46,1784108786.0555525,0.33182528614997864
47,1784108786.1608799,0.34715065360069275
48,1784108786.2638812,0.46046391129493713
49,1784108786.3722382,0.37971484661102295
50,1784108786.477309,0.43359696865081787
51,1784108786.5829418,0.31863933801651
52,1784108786.6876185,0.28397661447525024
53,1784108786.790381,0.44874662160873413
54,1784108786.8961065,0.26500165462493896
55,1784108787.0021162,0.3438657522201538
56,1784108787.1055706,0.43442636728286743
57,1784108787.2111006,0.3723481297492981
58,1784108787.3165576,0.2778334617614746
59,1784108787.4208798,0.25140103697776794
60,1784108787.5252814,0.42079436779022217
61,1784108787.629981,0.31856030225753784
62,1784108787.7352626,0.37801823019981384
63,1784108787.839502,0.43325239419937134
64,1784108787.94414,0.6352638006210327
65,1784108788.05028,0.20577040314674377
66,1784108788.1579719,0.29724204540252686
67,1784108788.2640724,0.4454612135887146
68,1784108788.3689976,0.4202221632003784
69,1784108788.4781728,0.4780266284942627
70,1784108788.5856051,0.4510509669780731
71,1784108788.6897724,0.28682172298431396
72,1784108788.793567,0.2510492205619812
73,1784108788.905355,0.3694474995136261
74,1784108789.014366,0.3983671963214874
75,1784108789.1219037,0.34394118189811707
76,1784108789.2270403,0.32865065336227417
77,1784108789.3328135,0.353172242641449
78,1784108789.437072,0.3134564757347107
79,1784108789.5414922,0.22698478400707245
80,1784108789.6454198,0.26541879773139954
81,1784108789.7499573,0.26416686177253723
82,1784108789.855938,0.2533823847770691
83,1784108789.9619503,0.3607798218727112
84,1784108790.068272,0.3964455723762512
85,1784108790.1718194,0.3273923397064209
86,1784108790.2765026,0.5055142641067505
87,1784108790.3790936,0.46776512265205383
88,1784108790.482128,0.2283981442451477
89,1784108790.5866632,0.26271769404411316
90,1784108790.6921935,0.3353022038936615
91,1784108790.7996287,0.33935457468032837
92,1784108790.9050317,0.510246992111206
93,1784108791.0080676,0.3089095950126648
94,1784108791.113917,0.23396873474121094
95,1784108791.2211761,0.37984174489974976
96,1784108791.3272076,0.17178824543952942
97,1784108791.4334807,0.46929872035980225
98,1784108791.5408874,0.43601787090301514
99,1784108791.6455328,0.45394206047058105
100,1784108791.7488706,0.2736433148384094
101,1784108791.8535366,0.3032222092151642
102,1784108791.961804,0.3935431241989136
103,1784108792.0666513,0.34575048089027405
104,1784108792.1729379,0.3985717296600342
105,1784108792.281096,0.19236788153648376
106,1784108792.3908682,0.3906205892562866
107,1784108792.4972792,0.1568402349948883
108,1784108792.604123,0.2967442274093628
109,1784108792.707943,0.27863022685050964
110,1784108792.8111715,0.21867477893829346
111,1784108792.914828,0.3343156576156616
112,1784108793.0215907,0.2919671833515167
113,1784108793.1270156,0.44938966631889343
114,1784108793.231482,0.2787025570869446
115,1784108793.3370078,0.3805443048477173
116,1784108793.4411287,0.47793328762054443
117,1784108793.544214,0.177630215883255
118,1784108793.6511245,0.35163822770118713
119,1784108793.7546754,0.2516346275806427
120,1784108793.8576694,0.29193446040153503
121,1784108793.9622917,0.45491331815719604
122,1784108794.0670452,0.31777602434158325
123,1784108794.1703813,0.16780570149421692
124,1784108794.2741108,0.28695806860923767
125,1784108794.3785636,0.25249963998794556
126,1784108794.4834535,0.5132448077201843
127,1784108794.5884554,0.36605948209762573
128,1784108794.6908634,0.41026443243026733
129,1784108794.7955854,0.3521219491958618
130,1784108794.9032397,0.28633517026901245
131,1784108795.0105217,0.1653420776128769
132,1784108795.1192477,0.29377782344818115
133,1784108795.227517,0.298392653465271
134,1784108795.3354862,0.15807084739208221
135,1784108795.4433172,0.26725977659225464
136,1784108795.549668,0.4030774235725403
137,1784108795.6568518,0.28342440724372864
138,1784108795.763163,0.4350903034210205
139,1784108795.8698885,0.3591412305831909
140,1784108795.9744742,0.3316410183906555
141,1784108796.0760894,0.2877613306045532
142,1784108796.1823862,0.1308692842721939
143,1784108796.286696,0.47023624181747437
144,1784108796.3895237,0.38837671279907227
145,1784108796.494726,0.2878721058368683
146,1784108796.6010358,0.2884790003299713
147,1784108796.706499,0.17965078353881836
148,1784108796.8106174,0.21379312872886658
149,1784108796.9195738,0.4379864037036896
150,1784108797.0249999,0.3628580570220947
151,1784108797.1283245,0.23656286299228668
152,1784108797.231507,0.24557659029960632
153,1784108797.3365223,0.30183708667755127
154,1784108797.4432144,0.2183717042207718
155,1784108797.5494235,0.43656080961227417
156,1784108797.6549993,0.24452801048755646
157,1784108797.7576442,0.5253747701644897
158,1784108797.8619125,0.2380944788455963
159,1784108797.9656584,0.38519421219825745
160,1784108798.0686529,0.13575479388237
161,1784108798.1727026,0.3331414461135864
162,1784108798.2774866,0.40069371461868286
163,1784108798.3842335,0.3383607864379883
164,1784108798.4928203,0.22948087751865387
165,1784108798.5966303,0.3064424395561218
166,1784108798.7012494,0.3904816508293152
167,1784108798.804613,0.33104610443115234
168,1784108798.910298,0.3337457776069641
169,1784108799.016892,0.1813989132642746
170,1784108799.1245992,0.3397165834903717
171,1784108799.229651,0.2929586172103882
172,1784108799.3321428,0.2541186213493347
173,1784108799.4348245,0.5607040524482727
174,1784108799.5401855,0.4388066828250885
175,1784108799.6442757,0.19637277722358704
176,1784108799.7480505,0.33568501472473145
177,1784108799.85097,0.21425855159759521
178,1784108799.9600148,0.4098319411277771
179,1784108800.0640721,0.18650487065315247
180,1784108800.1710575,0.3480633497238159
181,1784108800.2729416,0.3928551971912384
182,1784108800.3769612,0.3061813712120056
183,1784108800.4801013,0.22740116715431213
184,1784108800.583944,0.2891758382320404
185,1784108800.6882193,0.5328336358070374
186,1784108800.7943375,0.23609790205955505
187,1784108800.8993154,0.3020744323730469
188,1784108801.0088458,0.18091045320034027
189,1784108801.110388,0.2631226181983948
190,1784108801.2158837,0.18602429330348969
191,1784108801.3192937,0.2894980013370514
192,1784108801.4224381,0.29856163263320923
193,1784108801.528504,0.30820855498313904
194,1784108801.6393132,0.19103077054023743
195,1784108801.743738,0.23482736945152283
196,1784108801.8487723,0.27731895446777344
197,1784108801.9554868,0.1761634647846222
198,1784108802.0654435,0.30892428755760193
199,1784108802.1719182,0.3706296384334564
200,1784108802.2751672,0.22910279035568237
201,1784108802.3790855,0.2675710618495941
202,1784108802.4883492,0.2739924490451813
203,1784108802.5921884,0.4786505103111267
204,1784108802.6954844,0.4094695746898651
205,1784108802.7980337,0.24882476031780243
206,1784108802.901266,0.2350149154663086
207,1784108803.0058863,0.2014535516500473
208,1784108803.109536,0.22886233031749725
209,1784108803.2147703,0.22392618656158447
210,1784108803.3248527,0.28474920988082886
211,1784108803.4300737,0.31342554092407227
212,1784108803.5357542,0.15037819743156433
213,1784108803.6394432,0.19167619943618774
214,1784108803.7450812,0.3290422558784485
215,1784108803.8511097,0.44512826204299927
216,1784108803.955763,0.260322242975235
217,1784108804.0618422,0.3588371276855469
218,1784108804.1717463,0.26298415660858154
219,1784108804.2766697,0.3927765488624573
220,1784108804.380888,0.2066933810710907
221,1784108804.4845443,0.3556032180786133
222,1784108804.5885959,0.1735006421804428
223,1784108804.692891,0.22588114440441132
224,1784108804.7959218,0.16648924350738525
225,1784108804.9008644,0.2100137174129486
226,1784108805.0062544,0.3062836229801178
227,1784108805.113088,0.1605052947998047
228,1784108805.2170851,0.4485287368297577
229,1784108805.3212092,0.4572044312953949
230,1784108805.425416,0.2764964699745178
231,1784108805.5285594,0.3075236976146698
232,1784108805.6310208,0.33373135328292847
233,1784108805.7357676,0.332258403301239
234,1784108805.8401597,0.2627018094062805
235,1784108805.9448202,0.40618687868118286
236,1784108806.0510218,0.31180626153945923
237,1784108806.1545467,0.3004864454269409
238,1784108806.258358,0.22258003056049347
239,1784108806.3665292,0.2716636657714844
240,1784108806.4706917,0.1423312872648239
241,1784108806.578233,0.2879655361175537
242,1784108806.6845584,0.16199073195457458
243,1784108806.7901855,0.3607472777366638
244,1784108806.8969662,0.17108206450939178
245,1784108807.0019116,0.2985095977783203
246,1784108807.1110444,0.3417268395423889
247,1784108807.2152169,0.15589627623558044
248,1784108807.3197849,0.36093419790267944
249,1784108807.4243379,0.1671258807182312
250,1784108807.5316808,0.18777403235435486
251,1784108807.6376562,0.28741106390953064
252,1784108807.7430542,0.3983675241470337
253,1784108807.848984,0.2641482651233673
254,1784108807.9572926,0.11658800393342972
255,1784108808.0614743,0.26540809869766235
256,1784108808.1668468,0.24173076450824738
257,1784108808.2738416,0.24033233523368835
258,1784108808.3830454,0.35280781984329224
259,1784108808.4879673,0.17995840311050415
260,1784108808.5931776,0.2684963345527649
261,1784108808.6991372,0.37635451555252075
262,1784108808.80539,0.3374473750591278
263,1784108808.9108295,0.3404688835144043
264,1784108809.0147443,0.2545648217201233
265,1784108809.1202981,0.16986370086669922
266,1784108809.230575,0.10791333764791489
267,1784108809.3360505,0.20242491364479065
268,1784108809.441015,0.1539122313261032
269,1784108809.547911,0.41737890243530273
270,1784108809.6539757,0.3100516200065613
271,1784108809.757051,0.18234828114509583
272,1784108809.8602614,0.4914781153202057
273,1784108809.9661572,0.13092274963855743
274,1784108810.0723543,0.3949604034423828
275,1784108810.179384,0.33380499482154846
276,1784108810.284551,0.37124645709991455
277,1784108810.3874109,0.3028591275215149
278,1784108810.492997,0.23071593046188354
279,1784108810.5970235,0.0912439152598381
280,1784108810.700393,0.22980783879756927
281,1784108810.8053977,0.1702955663204193
282,1784108810.9124022,0.22510145604610443
283,1784108811.018766,0.21070978045463562
284,1784108811.1227474,0.3334600329399109
285,1784108811.2287657,0.23425458371639252
286,1784108811.3358183,0.22639232873916626
287,1784108811.439863,0.26755860447883606
288,1784108811.5434337,0.2901743948459625
289,1784108811.6485548,0.4021158814430237
290,1784108811.755805,0.29594022035598755
291,1784108811.8616292,0.1553511619567871
292,1784108811.9683752,0.13613788783550262
293,1784108812.0758255,0.13227936625480652
294,1784108812.181604,0.1786179542541504
295,1784108812.285437,0.4097549617290497
296,1784108812.3915331,0.4647164046764374
297,1784108812.499843,0.16635918617248535
298,1784108812.6071417,0.4108020067214966
299,1784108812.7148774,0.2419617772102356
300,1784108812.8224142,0.271765798330307
301,1784108812.926503,0.5332126021385193
302,1784108813.032038,0.22979110479354858
303,1784108813.1388848,0.1307401955127716
304,1784108813.2455573,0.13911299407482147
305,1784108813.360206,0.42688724398612976
306,1784108813.4648519,0.48847857117652893
307,1784108813.5693014,0.11776591092348099
308,1784108813.672739,0.3045161962509155
309,1784108813.776858,0.44555020332336426
310,1784108813.8827844,0.2633627653121948
311,1784108813.9900045,0.3511524796485901
312,1784108814.0923944,0.22334589064121246
313,1784108814.2019713,0.24597600102424622
314,1784108814.3074353,0.19394785165786743
315,1784108814.4141474,0.1827823966741562
316,1784108814.5198317,0.14787396788597107
317,1784108814.6262453,0.28442466259002686
318,1784108814.7319798,0.22382955253124237
319,1784108814.8374603,0.13680246472358704
320,1784108814.946414,0.3014930486679077
321,1784108815.0541425,0.1785845160484314
322,1784108815.1619828,0.28482478857040405
323,1784108815.2683597,0.21668940782546997
324,1784108815.3726604,0.18772487342357635
325,1784108815.4794667,0.38418206572532654
326,1784108815.5860643,0.219990074634552
327,1784108815.6915529,0.1289220005273819
328,1784108815.7998018,0.20622104406356812
329,1784108815.9090521,0.178765207529068
330,1784108816.018037,0.13070213794708252
331,1784108816.1234655,0.20145395398139954
332,1784108816.229243,0.18800243735313416
333,1784108816.3336985,0.11581459641456604
334,1784108816.4406013,0.1238534078001976
335,1784108816.5463173,0.4583680033683777
336,1784108816.64908,0.39443641901016235
337,1784108816.7580318,0.4443257451057434
338,1784108816.8673694,0.21863284707069397
339,1784108816.976769,0.3142958879470825
340,1784108817.082208,0.519223153591156
341,1784108817.1862338,0.127158060669899
342,1784108817.2927887,0.09546753019094467
343,1784108817.3998134,0.28709912300109863
344,1784108817.5060742,0.14988160133361816
345,1784108817.6172612,0.3685483932495117
346,1784108817.7275577,0.18519192934036255
347,1784108817.8330526,0.1726960688829422
348,1784108817.9412863,0.13783380389213562
349,1784108818.0455658,0.13442277908325195
350,1784108818.1511137,0.21927323937416077
351,1784108818.2562215,0.19294756650924683
352,1784108818.3645422,0.19842515885829926
353,1784108818.470813,0.3266109228134155
354,1784108818.5837412,0.25432637333869934
355,1784108818.6894007,0.17218920588493347
356,1784108818.7953794,0.15495465695858002
357,1784108818.8997974,0.31221434473991394
358,1784108819.0075085,0.413004994392395
359,1784108819.11304,0.5485152006149292
360,1784108819.2185974,0.1672387272119522
361,1784108819.3265858,0.1417132318019867
362,1784108819.4338639,0.28901809453964233
363,1784108819.5378654,0.10283923894166946
