step,wall_time,value
109,1784108792.7079992,0.0
110,1784108792.8112242,0.0
111,1784108792.9148993,0.0
112,1784108793.0216444,0.0
113,1784108793.1270757,0.0
114,1784108793.2315385,0.0
115,1784108793.3370621,0.0
116,1784108793.4411755,0.0
117,1784108793.5442705,0.0
118,1784108793.6511786,0.0
119,1784108793.7547216,0.0
120,1784108793.8577232,0.0
121,1784108793.9623463,0.0
122,1784108794.0671153,0.0
123,1784108794.1704357,0.0
124,1784108794.2741692,0.0
125,1784108794.3786173,0.0
126,1784108794.4835055,0.0
127,1784108794.5885005,0.0
128,1784108794.6909182,0.0
129,1784108794.795641,0.0
130,1784108794.9032989,0.0
131,1784108795.0105755,0.0
132,1784108795.1192951,0.0
133,1784108795.2275715,0.0
134,1784108795.3355408,0.0
135,1784108795.443367,0.0
136,1784108795.5497231,0.0
137,1784108795.65691,0.0
138,1784108795.7632227,0.0
139,1784108795.8699417,0.0
140,1784108795.9745195,0.0
141,1784108796.0761416,0.0
142,1784108796.182441,0.0
143,1784108796.2867599,0.0
144,1784108796.389581,0.0
145,1784108796.4947953,0.0
146,1784108796.6010911,0.0
147,1784108796.7065544,0.0
148,1784108796.810665,0.0
149,1784108796.9196262,0.0
150,1784108797.025056,0.0
151,1784108797.1283958,0.0
152,1784108797.2315724,0.0
153,1784108797.3365824,0.0
154,1784108797.44328,0.0
155,1784108797.5494988,0.0
156,1784108797.6550477,0.0
157,1784108797.7576983,0.0
158,1784108797.8619668,0.0
159,1784108797.965705,0.0
160,1784108798.0687084,0.0
161,1784108798.1727698,0.0
162,1784108798.277542,0.0
163,1784108798.3842926,0.0
164,1784108798.4928725,0.0
165,1784108798.5966947,0.0
166,1784108798.7013018,0.0
167,1784108798.8046608,0.0
168,1784108798.910354,0.0
169,1784108799.0169475,0.0
170,1784108799.124657,0.0
171,1784108799.2297025,0.0
172,1784108799.3321855,0.0
173,1784108799.4348934,0.0
174,1784108799.5402374,0.0
175,1784108799.6443214,0.0
176,1784108799.7481031,0.0
177,1784108799.8510215,0.0
178,1784108799.9600885,0.0
179,1784108800.0641239,0.0
180,1784108800.171105,0.0
181,1784108800.2730052,0.0
182,1784108800.3770125,0.0
183,1784108800.4801514,0.0
184,1784108800.5839972,0.0
185,1784108800.688276,0.0
186,1784108800.7943926,0.0
187,1784108800.8993688,0.0
188,1784108801.008895,0.0
189,1784108801.1104414,0.0
190,1784108801.2159379,0.0
191,1784108801.3193414,0.0
192,1784108801.4224923,0.0
193,1784108801.528571,0.0
194,1784108801.6393836,0.0
195,1784108801.7437913,0.0
196,1784108801.8488452,0.0
197,1784108801.9555411,0.0
198,1784108802.0654957,0.0
199,1784108802.1719646,0.0
200,1784108802.2752204,0.0
201,1784108802.379141,0.0
202,1784108802.4884062,0.0
203,1784108802.5922391,0.0
204,1784108802.6955287,0.0
205,1784108802.7980757,0.0
206,1784108802.901319,0.0
207,1784108803.0059326,0.0
208,1784108803.109588,0.0
209,1784108803.2148242,0.0
210,1784108803.3249083,0.0
211,1784108803.4301267,0.0
212,1784108803.5357988,0.0
213,1784108803.639522,0.0
214,1784108803.7451317,0.0
215,1784108803.851157,0.0
216,1784108803.9558172,0.0
217,1784108804.0618968,0.0
218,1784108804.1718042,0.0
219,1784108804.2767243,0.0
220,1784108804.3809342,0.0
221,1784108804.4846015,0.0
222,1784108804.5886488,0.0
223,1784108804.6929395,0.0
224,1784108804.7959766,0.0
225,1784108804.9009213,0.0
226,1784108805.0063086,0.0
227,1784108805.1131384,0.0
228,1784108805.2171307,0.0
229,1784108805.3212638,0.0
230,1784108805.425468,0.0
231,1784108805.5286136,0.0
232,1784108805.6310732,0.0
233,1784108805.735842,0.0
234,1784108805.840221,0.0
235,1784108805.9448738,0.0
236,1784108806.051071,0.0
237,1784108806.1546,0.0
238,1784108806.2584064,0.0
