step,wall_time,value
121,1784108793.962332,0.78125
122,1784108794.0670943,0.9375
123,1784108794.170421,0.9375
124,1784108794.2741544,0.90625
125,1784108794.378604,0.875
126,1784108794.4834917,0.75
127,1784108794.588487,0.90625
128,1784108794.690904,0.875
129,1784108794.7956264,0.8125
130,1784108794.9032845,0.875
131,1784108795.0105608,0.9375
132,1784108795.1192808,0.84375
133,1784108795.227557,0.84375
134,1784108795.335526,0.96875
135,1784108795.443353,0.875
136,1784108795.5497084,0.9375
137,1784108795.656895,0.875
138,1784108795.7632072,0.84375
139,1784108795.8699265,0.875
140,1784108795.9745061,0.875
141,1784108796.0761287,0.90625
142,1784108796.182425,1.0
143,1784108796.286728,0.875
144,1784108796.389566,0.78125
145,1784108796.4947803,0.875
146,1784108796.6010761,0.90625
147,1784108796.706539,0.9375
148,1784108796.810651,0.9375
149,1784108796.9196122,0.875
150,1784108797.025041,0.8125
151,1784108797.1283743,0.90625
152,1784108797.2315543,0.9375
153,1784108797.3365679,0.875
154,1784108797.4432628,0.90625
155,1784108797.5494764,0.8125
156,1784108797.6550336,0.90625
157,1784108797.7576835,0.8125
158,1784108797.8619509,0.9375
159,1784108797.9656918,0.84375
160,1784108798.0686946,1.0
161,1784108798.1727557,0.90625
162,1784108798.2775278,0.875
163,1784108798.3842773,0.8125
164,1784108798.4928575,0.9375
165,1784108798.59668,0.90625
166,1784108798.701287,0.84375
167,1784108798.804647,0.84375
168,1784108798.9103398,0.8125
169,1784108799.016933,0.9375
170,1784108799.1246428,0.875
171,1784108799.229689,0.875
172,1784108799.332173,0.9375
173,1784108799.4348712,0.75
174,1784108799.5402226,0.875
175,1784108799.6443083,0.9375
176,1784108799.7480893,0.90625
177,1784108799.8510087,0.90625
178,1784108799.9600732,0.78125
179,1784108800.0641103,0.9375
180,1784108800.1710918,0.84375
181,1784108800.2729912,0.84375
182,1784108800.3769987,0.875
183,1784108800.480137,0.90625
184,1784108800.5839832,0.90625
185,1784108800.6882622,0.71875
186,1784108800.7943778,0.84375
187,1784108800.8993545,0.875
188,1784108801.0088809,0.96875
189,1784108801.1104276,0.90625
190,1784108801.2159228,0.96875
191,1784108801.3193269,0.875
192,1784108801.4224782,0.90625
193,1784108801.528554,0.84375
194,1784108801.6393657,0.96875
195,1784108801.743777,0.9375
196,1784108801.8488243,0.875
197,1784108801.955527,0.96875
198,1784108802.0654814,0.875
199,1784108802.1719508,0.84375
200,1784108802.2752063,0.90625
201,1784108802.379127,0.90625
202,1784108802.4883916,0.84375
203,1784108802.5922253,0.8125
204,1784108802.6955154,0.8125
205,1784108802.7980626,0.90625
206,1784108802.9013045,0.90625
207,1784108803.0059183,0.96875
208,1784108803.109574,0.9375
209,1784108803.2148104,0.90625
210,1784108803.3248935,0.875
211,1784108803.4301126,0.84375
212,1784108803.5357852,0.9375
213,1784108803.6395042,0.90625
214,1784108803.7451177,0.875
215,1784108803.8511436,0.84375
216,1784108803.955803,0.9375
217,1784108804.0618834,0.8125
218,1784108804.1717896,0.90625
219,1784108804.2767096,0.875
220,1784108804.3809211,0.90625
221,1784108804.4845874,0.8125
222,1784108804.588635,0.9375
223,1784108804.6929252,0.90625
224,1784108804.7959623,0.96875
225,1784108804.9009073,0.90625
226,1784108805.0062947,0.84375
227,1784108805.113124,0.9375
228,1784108805.217117,0.875
229,1784108805.3212497,0.875
230,1784108805.4254534,0.9375
231,1784108805.5285974,0.875
232,1784108805.6310594,0.875
233,1784108805.7358217,0.84375
234,1784108805.8402061,0.9375
235,1784108805.9448597,0.8125
236,1784108806.0510576,0.96875
237,1784108806.1545863,0.875
238,1784108806.2583928,0.9375
239,1784108806.3665638,0.875
240,1784108806.4707427,0.96875
241,1784108806.5782712,0.875
242,1784108806.6846018,0.96875
243,1784108806.7902231,0.90625
244,1784108806.8969972,0.9375
245,1784108807.0019524,0.90625
246,1784108807.1110847,0.8125
247,1784108807.2152553,0.9375
248,1784108807.3198228,0.90625
249,1784108807.4243789,0.96875
250,1784108807.5317228,0.9375
251,1784108807.637695,0.9375
